Ecosystem service,Description,Benefit,Natural Capital Asset,Importance,Importance justification,Driver of change,Influence,Influence justification,Likely response,Effect on variability of ecosystem service provision,Human action or natural variation,Timescale,Spatial characteristics
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Atmosphere,R,"Climate affects weathering processes that operate by alteration of water available and temperature. Wind can be a weathering agent by exfoliation and by breaking rock. It also serves as transportation of parent material. The multiple effects of climate on different weathering agents and processes shows great sensitivity to variation in this asset. Reversibility is not possible. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is medium uncertainty in the relationship.",Habitat modification,R,"Habitat modification can result in extensive carbon release (e.g. deforestation via slash and burn) that contributes >10% of carbon emissions globally, increasing air and surface temperatures and altering circulation currents in the atmosphere. With increases in habitat modification projected, the composition of atmospheric gases and climate variability are expected to continue over the next 100 years. The atmosphere is therefore susceptible to the impacts of habitat modification. However, projections of habitat modification related to atmospheric changes can be highly variable due to unexpected events and climate shock induced spikes in CO2 releases creating uncertainty in projections (e.g. drought associated forest fires in indonesia 2016).
","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Atmosphere,R,"Climate affects weathering processes that operate by alteration of water available and temperature. Wind can be a weathering agent by exfoliation and by breaking rock. It also serves as transportation of parent material. The multiple effects of climate on different weathering agents and processes shows great sensitivity to variation in this asset. Reversibility is not possible. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is medium uncertainty in the relationship.",Pollution,R,"Atmospheric measurements have shown steady increases in the amounts of greenhouse gases (GHG), aerosols and particulates over the last 20 years as a result of anthropogenic pollution and are expected to continue, altering atmospheric compositions over the next 100 years. Decreases in vegetation filtering services provided by photosynthesis and dry deposition, as a result of deforestation, has left the atmosphere highly susceptible to further increases. Extensive studies have shown that GHG exudation significantly increases radiative forcing, trapping heat within the atmosphere, contributing to global warming and altering convection currents and atmospheric pressures. Although GHG effects are predicted with high levels of certainty there is far greater uncertainty regarding the levels of aerosols and their impact on radiative forcing and the atmosphere, resulting in some variability in the effects of pollution on the atmosphere over time.  ",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Atmosphere,R,"Climate affects weathering processes that operate by alteration of water available and temperature. Wind can be a weathering agent by exfoliation and by breaking rock. It also serves as transportation of parent material. The multiple effects of climate on different weathering agents and processes shows great sensitivity to variation in this asset. Reversibility is not possible. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is medium uncertainty in the relationship.",Weather conditions,R,"Global atmospheric temperatures in 2016 rose to >0.94C of the 20th-century average and are predicted to increase (>2C in 100 years), this is correlated with extreme weather events, with 18% of extreme precipitation and 75% of daily heat extremes being ascribed to global warming via a robust model with low uncertainty.  The effects are not uniform across the globe due to an interplay between surface ocean heat distribution and atmospheric heat re-distribution, resulting in high variability in the response of weather patterns to atmospheric and surface temperature changes. With increasing negative drivers and reduced regulatory capacity across the globe, the atmosphere is highly susceptible to exhibit further negative weather patterns in the future.",Alteration of biochemical and chemical reactions.,"Biochemical reactions involved in decomposition and fixation processes are temperature dependent and have high temperature sensitivity. Low temperatures cause slow rates of chemical weathering and rely on physical processes. Warmth favours chemical weathering over physical, leading to deeper weathering.",Human action,Long term,Global
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Land geomorphology,R,"Topography (variation as slope angle) determines energy of weathering processes from water and it affects drainage. Sensitivity to variation of the asset can be generally quite high but depends on the material and the nature of the weathering profile. Reversibility of a change to the asset is unlikely given the nature of topographical changes. The substitutability is dependant on the parent material and the weathering processes specific to that site as there can be are multiple weathering agents. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is relatively little known about this relationship.",Earthquakes,A,"Earthquakes are important in the creation of landforms and can initiate major geomorphological changes by uplift, depression and tilting, vertical dislocations. These can be rapid and vast and unpredictable. The susceptibility is high, but with varying response depending on the strenght of the seismic activity and nature and composition of the subsuface. There is certainty that earthquakes are a driver of change for land geomorphology and low variability.",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Land geomorphology,R,"Topography (variation as slope angle) determines energy of weathering processes from water and it affects drainage. Sensitivity to variation of the asset can be generally quite high but depends on the material and the nature of the weathering profile. Reversibility of a change to the asset is unlikely given the nature of topographical changes. The substitutability is dependant on the parent material and the weathering processes specific to that site as there can be are multiple weathering agents. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is relatively little known about this relationship.",Flooding,R,"Floods impact land geomorphology by altering the natural flow of water bodies, moving large volumes of soil and sediments, deposit of sediments, washing away of rock fragments; they also indirectly cause change through erosion, habitat change and changes in soil. Susceptibility can be high and variability is high depending on slope, structure, habitat cover and the strength and duration of flooding. There is low uncertainty of the relationship.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Land geomorphology,R,"Topography (variation as slope angle) determines energy of weathering processes from water and it affects drainage. Sensitivity to variation of the asset can be generally quite high but depends on the material and the nature of the weathering profile. Reversibility of a change to the asset is unlikely given the nature of topographical changes. The substitutability is dependant on the parent material and the weathering processes specific to that site as there can be are multiple weathering agents. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is relatively little known about this relationship.",Habitat modification,A,"Habitat changes such as deforestation, can indirectly alter land forms by exposing land to erosion and landslides, one of the main drivers of land form alterations. Susceptibility to impact is medium and variable, depending on the type of habitat change, soil and land structure features and strength of impact. Uncertainty is low.","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Land geomorphology,R,"Topography (variation as slope angle) determines energy of weathering processes from water and it affects drainage. Sensitivity to variation of the asset can be generally quite high but depends on the material and the nature of the weathering profile. Reversibility of a change to the asset is unlikely given the nature of topographical changes. The substitutability is dependant on the parent material and the weathering processes specific to that site as there can be are multiple weathering agents. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself. There is relatively little known about this relationship.",Volcanoes,A,"Volcanoes can have deep geomorphological consequences on surrounding landscapes. Some volcanic eruptions may result in creations of new land forms, and some can cause a series of events that result in major changes to the landscape and topography. Volcanoes can have effects on stream channels and drainages, glaciers, lakes, edifices, water bodies, etc. Volcanic craters and calderas can create lakes, fissure eruptions create lava plateaus, and interaction with other factors can result in mountain forming events, canyons and streams. Land geomorphology is susceptible, the degree will depend on the strength of the volcanic activity, the type of eruption, and the nature of the land form, with low variability and uncertainty. ",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Minerals,R,"Weathering processes act on rocks (minerals), they are therefore directly linked, unsubstitutable, and the service is complete dependent on this asset as a whole. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself.  If the natural conditions of the asset are restored, the impact of changes on the service may be reversed. There is relatively little known about this relationship.",Habitat modification,R,"Habitat modification is expected to increase with human population expansion and is therefore expected to impact mineral levels over time. Soil perturbation, associated with modification, has been widely documented to alter mineral compositions by increasing soil degradation, leaching, soil microbial activity and mineralisation of nutrients. Soils are highly susceptible to these processes when they are exposed to atmospheric conditions as opposed to naturally occurring microclimates created by natural vegetation systems. The extent to which mineral compositions are altered is, however, highly variable, uncertain and dependent on a variety of factors such as pre-existing conditions and soil composition. ","Deforestation, loss of biological community.","Alters biological, mechanical and chemical weathering processes. Type of land use determines type of disturbance (tillage, agrochemicals, fertilizers, excrements, etc.) changes soil properties.",Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Minerals,R,"Weathering processes act on rocks (minerals), they are therefore directly linked, unsubstitutable, and the service is complete dependent on this asset as a whole. The nature of any particular weathering profile will reflect the interactions between climate, topography, parent material, soil biota and time and factors related to the nature of the mineral itself.  If the natural conditions of the asset are restored, the impact of changes on the service may be reversed. There is relatively little known about this relationship.",Volcanoes,R,"Volcanic eruptions can greatly increase the deposition of minerals to far-reaching areas via atmospheric ash exudation and wind transportation. Additionally, hydrothermal activity can result in precipitation of mineral deposits in deep circulating water. Mineral levels as an asset are highly susceptible to volcanic activities as geothermal processes are responsible for the creation of a large variety of minerals. Exudates from volcanic eruptions can be variable based on the igneous composition of the tectonic plate underlying the site of eruption. As volcanic activity is difficult to predict and is not dependent on anthropogenic processes, directional change in the effects of volcanic activity on mineral levels is uncertain. ",Displaces or reduces population of biota. Also reduces thickness of soil water films and inhibits enzymes.,"Disturbance of biotic and abiotic factors pose environmental constraints that can temporarily or indefinitely affect decomposition sensitivity. Changes soil’s environment, modifying processes.",Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Soils and sediments,A,"Soils provide compounds derived from decomposing organic matter or from soil microbes, or ions that drive chemical weathering in the soil or surface water. Soils host biotic agents that drive weathering. Weathering processes do not operate in isolation, it is a complex coupling of physico-chemical and biological processes. Sensitivity of weathering to changes in soil will depend on properties changed, and type of parent material. For processes dependent on soil, these will most like be also driven by biological and other agents of chemical weathering therefore the service has medium sensitivity to loss of soils as an asset. Soils are a supporting asset. Given the temporal nature of weathering processes, reversibility is possible through active restoration. There is medium uncertainty in the relationship.",Flooding,A,"Floods decrease the stability of soils, causing changes in inorganic and organic elements. Soil conditions, such as cultivated or non-cultivated soils, influence the degree of impact of floods, with cultivated soils likely to be more affected. Oxygen availability is also affected by extended flooding and causes a shift in nutrient cycling, and associated biota are greatly impacted, affecting soil processes in return. Susceptibility is high, with some variability depending on soil properties, and there is certainty in the relationship.","Alters biological soil community, structural properties of parent material by exposure to water.",Changes soil’s environment and modifies processes.,Human action,Long term,Local
Soil quality,"The processes of weathering are critical to soil formation, and maintenance of soil properties as nutrient composition and structure. Physical or mechanical weathering processes are provided through frost action or frost shattering, volume changes of minerals, or exfoliation as a consequence of pressure changes. Chemical weathering occurs when rainwater reacts with mineral grains in rocks and generate chemical processes as oxidation, hydrolysis, solution, carbonation, etc., which are facilitated by higher temperatures. Organic or biological weathering are provided by the biotic communities in and on the soil by processes such as root wedging, animal scraping or the production of organic acids.The assets providing this service are therefore elements of the climate system; non-metallic mineral resources, soil and surface water; top-soil; soil biodiversity such as fungi, microorganisms, invertebrates and plants; and the land geomorphology that supports these. Climate dictates what type of weathering processes operate, by determining the amount of water available and the temperature by which processes occur. Temperature and moisture will change speed of chemical can biological reactions in weathering processes. Rainfall influences the intensity of weathering and the leaching of weathering products. Mineralogy of the parent material influences weathering products and mineral composition of soil. Rock type and structure. Different materials weather in different ways and at different rates depending on its composition. Water drives mechanical and chemical weathering and can facilitate organic weathering by supporting the biotic community. Plants can create organic compounds that alter weathering rates and roots can disaggregate rock, and influence soil structure, formation and other processes. Plants can enhance weathering through the penetration of roots and root-derived acids. Fungal biomass in the soil influences soil composition and plants capacity to disaggregate rock fragments. Water, plants and soil fauna translocate minerals and other compounds product of weathering through the soil. Arthropods and other soil invertebrates produce organic compounds, which promote weathering. They contribute to paedogenesis (soil formation) by bioturbation, surface deposition and particle selection. The minimum conditions for maintaining the service flow are: mineral parent material and weathering agents.","Food production, water quality, and reduction of damages",Soils and sediments,A,"Soils provide compounds derived from decomposing organic matter or from soil microbes, or ions that drive chemical weathering in the soil or surface water. Soils host biotic agents that drive weathering. Weathering processes do not operate in isolation, it is a complex coupling of physico-chemical and biological processes. Sensitivity of weathering to changes in soil will depend on properties changed, and type of parent material. For processes dependent on soil, these will most like be also driven by biological and other agents of chemical weathering therefore the service has medium sensitivity to loss of soils as an asset. Soils are a supporting asset. Given the temporal nature of weathering processes, reversibility is possible through active restoration. There is medium uncertainty in the relationship.",Habitat modification,A,"As an asset, soil and sediment trends are expected to worsen in the long term. Habitat modification can affect soils both chemically and physically. Physical modification, for example through agriculture, can increase exposure to the bare ground, reduced fertility or overgrazing - all which can affect soils. Each soil and sediment system has different environmental parameters, and will be affected differently by impacts of habitat modification. There is a degree of uncertainty in how far habitat modification impacts soils and sediments.","Alters water flow, rock structure, topographic characteristics which alter soil composition",Changing decomposition and fixation processes.,Human action,Long term,Local
