Process,Ecosystem Service,RAG,Justification
Recovery and separation of carbon dioxide,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Restaurant provision,Climate regulation,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Restaurant provision,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Restaurant provision,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Restaurant provision,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Restaurant provision,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Restaurant provision,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Saltwater wild-caught fish,Water quality,H,Ecosystem service is critical and irreplaceable in production process
Saltwater wild-caught fish,Soil quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Disease control,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Saltwater wild-caught fish,Pest control,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Saltwater wild-caught fish,Maintain nursery habitats,H,Ecosystem service is critical and irreplaceable in production process
Saltwater wild-caught fish,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Saltwater wild-caught fish,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Saltwater wild-caught fish,Buffering and attenuation of mass flows,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Saltwater wild-caught fish,Filtration,H,"Wild-fish and other species service in the ocean/rivers are dependent on the success of natural filtration. If the ecosystem service was able to function, the organisms would experience significant negative impacts. 
"
Saltwater wild-caught fish,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Saltwater wild-caught fish,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Saltwater wild-caught fish,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Manufacture of semiconductor equipment,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Manufacture of semiconductor equipment,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale forestry,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale forestry,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Small-scale forestry,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale forestry,Bio-remediation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale forestry,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale forestry,Animal-based energy,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale forestry,Surface water,H,Ecosystem service is critical and irreplaceable in production process
Small-scale forestry,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Water quality,H,"production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk"
Small-scale irrigated arable crops,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale irrigated arable crops,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Pollination,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale irrigated arable crops,Ventilation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale irrigated arable crops,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Small-scale irrigated arable crops,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale irrigated arable crops,Dilution by atmosphere and ecosystems,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale irrigated arable crops,Dilution by atmosphere and ecosystems,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale irrigated arable crops,Bio-remediation,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Bio-remediation,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale irrigated arable crops,Animal-based energy,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale irrigated arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Small-scale livestock (beef and dairy),Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale livestock (beef and dairy),Water quality,H,"production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk"
Small-scale livestock (beef and dairy),Soil quality,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Small-scale livestock (beef and dairy),Disease control,H,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Small-scale livestock (beef and dairy),Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Small-scale livestock (beef and dairy),Pollination,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Small-scale livestock (beef and dairy),Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale livestock (beef and dairy),Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Small-scale livestock (beef and dairy),Mass stabilisation and erosion control,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Small-scale livestock (beef and dairy),Buffering and attenuation of mass flows,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service due to the resilience of the production process to disruption
Small-scale livestock (beef and dairy),Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Bio-remediation,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale livestock (beef and dairy),Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale livestock (beef and dairy),Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale livestock (beef and dairy),Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale livestock (beef and dairy),Genetic materials,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale livestock (beef and dairy),Fibres and other materials,H,"Ecosystem service is critical and irreplaceable in production process. Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale rainfed arable crops,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Water quality,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Small-scale rainfed arable crops,Soil quality,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale rainfed arable crops,Disease control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Pest control,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Pollination,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Small-scale rainfed arable crops,Ventilation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Small-scale rainfed arable crops,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Small-scale rainfed arable crops,Mass stabilisation and erosion control,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Buffering and attenuation of mass flows,H,The production process is extremely vulnerable to disruption The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Small-scale rainfed arable crops,Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
Small-scale rainfed arable crops,Animal-based energy,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale rainfed arable crops,Surface water,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Small-scale rainfed arable crops,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Small-scale rainfed arable crops,Fibres and other materials,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

 Although less practical, production process can take place without the ecosystem service due to availability of substitutes
"
Solar energy provision,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Solar energy provision,Flood and storm protection,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Solar energy provision,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Solar energy provision,Surface water,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Solar energy provision,Ground water,L,Most of the time the production process can take place even with full disruption of the ecosystem service
Solids processing,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Solids processing,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Solids processing,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Solids processing,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Solids processing,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Solids processing,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Solids processing,Mediation of sensory impacts,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Solids processing,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Solids processing,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Solids processing,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Steel production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Steel production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Steel production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Steel production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Steel production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fertilizer production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Synthetic fertilizer production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Synthetic fertilizer production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fertilizer production,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Synthetic fertilizer production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Synthetic fertilizer production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fertilizer production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Synthetic fertilizer production,Mediation of sensory impacts,M,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fertilizer production,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fertilizer production,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fertilizer production,Genetic materials,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fibre production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Synthetic fibre production,Water flow maintenance,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Synthetic fibre production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Synthetic fibre production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Synthetic fibre production,Surface water,H,"production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes service this a high risk"
Synthetic fibre production,Ground water,H,"Production process can take place with some disruption of the ecosystem service, but the high quantity of the ecosystem service required for the production process makes this a high risk"
Synthetic fibre production,Fibres and other materials,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Telecommunication and wireless services,Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Telecommunication and wireless services,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Tobacco production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Tobacco production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Tobacco production,Surface water,H,Ecosystem service is critical and irreplaceable in production process 
Tobacco production,Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Tobacco production,Fibres and other materials,H,Ecosystem service is critical and irreplaceable in production process 
Tyre and rubber production,Climate regulation,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Tyre and rubber production,Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Tyre and rubber production,Ventilation,L,"Most of the time the production process can take place even
with full disruption of the ecosystem service"
Tyre and rubber production,Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
Tyre and rubber production,Water flow maintenance,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
Tyre and rubber production,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Tyre and rubber production,Mediation of sensory impacts,M,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Filtration,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Tyre and rubber production,Surface water,H,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Tyre and rubber production,Ground water,H,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Alcoholic fermentation and distilling,Genetic materials,H,Ecosystem service is critical and irreplaceable in production process 
Vulcanisation,Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Vulcanisation,Surface water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
Vulcanisation,Ground water,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Water services (e.g. waste water, treatment and distribution)",Climate regulation,M,Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service
"Water services (e.g. waste water, treatment and distribution)",Water quality,M,"Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Water services (e.g. waste water, treatment and distribution)",Soil quality,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service. Although less practical, production process can take place without the ecosystem service due to availability of substitutes"
"Water services (e.g. waste water, treatment and distribution)",Pest control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Water services (e.g. waste water, treatment and distribution)",Flood and storm protection,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
"Water services (e.g. waste water, treatment and distribution)",Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
"Water services (e.g. waste water, treatment and distribution)",Mass stabilisation and erosion control,L,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
"Water services (e.g. waste water, treatment and distribution)",Mediation of sensory impacts,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
"Water services (e.g. waste water, treatment and distribution)",Bio-remediation,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
"Water services (e.g. waste water, treatment and distribution)",Filtration,M,"Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions"
"Water services (e.g. waste water, treatment and distribution)",Surface water,H,Ecosystem service is critical and irreplaceable in production process 
"Water services (e.g. waste water, treatment and distribution)",Ground water,H,Ecosystem service is critical and irreplaceable in production process 
Freshwater wild-caught fish,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Saltwater wild-caught fish,Flood and storm protection,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Freshwater wild-caught fish,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Freshwater wild-caught fish,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Freshwater wild-caught fish,Bio-remediation,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Water flow maintenance,H,Ecosystem service is critical and irreplaceable in production process
Saltwater wild-caught fish,Dilution by atmosphere and ecosystems,L,Most of the time the production process can take place even with full disruption of the ecosystem service 
Saltwater wild-caught fish,Bio-remediation,M,"Most of the time the production process can take place with limited (but not with full) disruption of the ecosystem service

Although less practical, production process can take place without the ecosystem service due to availability of impact mitigation solutions

"
Wind energy provision,Climate regulation,H,The production process is extremely vulnerable to disruption. The degree of protection offered by the ecosystem service is critical and irreplaceable for the production process 
Wind energy provision,Flood and storm protection,M,Most of the time the production process can take place even with full disruption of the ecosystem service due to the resilience of the production process to disruption
Wind energy provision,Mass stabilisation and erosion control,M,"Although less practical, production process can take place without the ecosystem service due to availability of protection substitutes"
