Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Species,Human modification of genetic material,R,"The release of genetically modified organisms in the wild can cause changes in species composition. Despite extensive studies on the topic there is uncertainty in the impact on natural species, however, it is more widely believed that the technology will cause negative impacts on species population stability. Human genetic modification of commercial organisms has been increasing over the last two decades and is predicted to continue.",The consumption of GM foods containing antibiotic resistance can facilitate gene transfer to microbes in the gut and to pathogens in the environment.,Evolution of resistance to animal and human antibiotics over time.,Human action,Long term,Global
Species,Human modification of genetic material,R,"The release of genetically modified organisms in the wild can cause changes in species composition. Despite extensive studies on the topic there is uncertainty in the impact on natural species, however, it is more widely believed that the technology will cause negative impacts on species population stability. Human genetic modification of commercial organisms has been increasing over the last two decades and is predicted to continue.","Reduction in pollinator species’ survival. Genetically modified herbicide tolerant crops are associated with a reduction in the number of surrounding weeds beneficial for pollinators, resulting in loss of pollinator habitat.",Decreased pollination services.,Human action,"Short term - Concrete evidence of impacts is lacking for many pollinators, but impacts have been reported for butterflies and are likely occurring on a routine basis.",Local - Impacts will occur in areas that use genetically modified crops.
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Resistance to biological control measures,"Loss of efficiency of biological control agents against plant pathogens, e.g. fungicide resistance in fungal plant pathogens.",Natural variation,Long term,Global
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Higher water turbidity (from sediment loading) leads to decreased light availability for photosynthesis.,There has been a loss of canopy-forming algae (up to 70 %) on parts of the Adelaide metropolitan coast since major urbanisation.,Human action,Long term,Coastal zone in mid-latitudes
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Lower and poorer quality yields of commercial plant species as soils become exhausted of organic and mineral content.,The provision of vegetable fibres is diminished,Human action,Mid-term,Local
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Overfertilization and nutrient enrichment lead to algal overgrowth and loss in cover and diversity of habitats.,"Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats.",Human action,Short-mid term,Local-Regional
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.","Eradication of predator populations by use of insecticides, different crop rotation practices or removal by other means, e.g. hunting",Explosion in pest (prey) populations due to predator absence,Human action,Short term,Global
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.","Intensive agriculture (i.e. large homogenous fields with regular and intensive tillage, grazing, and/or mowing) and associated chemical use (e.g. pesticides such as neonicotinoids) has abroad range of lethal and sub-lethal effects on pollinator species. Pollinator habitat loss and disruption of daily activities. Higher rates of species mortality and reduced species survival. More specialised pollinator species (i.e. those that are highly dependent on a specific feature and are not adaptable) are more heavily affected by this impact.",Decreased pollination services. The magnitude of loss of pollination will depend on the presence of other more robust and adaptable species.,Human action,Short term - Impacts have occurred in the past and are occurring on a daily basis. Chemicals are applied on a daily basis in many agricultural practices.,"Local and Global. Global - Agriculture is global and many impacts such as habitat destruction and chemical use occur worldwide. Local - Impacts will materialise on a local scale and will be more severe in areas of more intensive agriculture. Chemical application has direct effects on local pollinator populations and water bodies, and pollinator species are more at risk in areas where chemicals are applied more heavily."
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.","Management of pollinators for commercial purposes, mass breeding, and trade have exacerbated the impacts of pathogens and pests on pollinator species. Further reductions in species survival.",Decreased pollination services,Human action,Short term - Impacts have occurred in the past and are occurring and materialise within a matter of days to months.,Local - Impacts will materialise where pathogens and pests are prevalent and will be more severe when they affect less resilient pollinators.
Species,Intensive agriculture and aquaculture,R,"Agricultural activities such as tillage, drainage, intercropping, rotation, grazing and extensive use of pesticides and fertilisers have significant implications for wild species. Aquaculture has some positive impacts on biodiversity - it can reduce pressure on overexploited wild stocks and enhance depleted stocks, and can boost natural production and species diversity. However, species that escape from aquaculture can become invasive in areas where they are not native; effluents from aquaculture can cause eutrophication; ecologically sensitive land may be converted for aquaculture use; aquaculture species may consume scarce fish meal; and aquaculture may transmit diseases to wild fish. Species are generally expected to worsen in the short term.",Addition of organic or inorganic matter results in changes in diversity in the soil and the microbial composition.,Alters matter composition and microbial community structure which in turn affects decomposition rate.,Human action,Short-long term,Local-Global
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Increased populations of sea urchins lead to overgrazing of kelp,Decreased bio-remediation by kelp,Human action,"Mid-long term –
Trophic interactions change according to the rate of the reduction in predator populations, the subsequent effects can materialise within a few years",Global – Invasive species are widespread across the globe and are affecting species across a significant portion of their ranges
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.","Burrs (seeds that have hooks or teeth) from burr-bearing plants, in wool contaminate fleeces, requiring more complex and expensive removal operations. Leather is also at risk from blowflies.",Service slowed down and more costly at the fleece or leather processing stage.,Natural variation,Short term,Global
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.","Species, e.g. sea urchins, which predate or act as pests for the kelp components increase in numbers.",The service provision does not stop but slows down due to reduction in quality and quantity of the asset.,Natural variation,Long term,Global
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Displacement or local extinction of biotic communities.,"Alien species altering ecology of system, e.g. displacing relevant species to maintain services.",Human action,Short-mid term (depending on level of disturbance of invasive species),Local
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Invasive species can deviate pollinators from the plants they normally pollinate (in the case of invasive plants) or can outcompete native pollinators (in the case of invasive pollinators),Decreased pollination services from native pollinators to native plants.,Human action,Short term - Impacts of invasive species are already occurring and materialise within a few months.,"Local - Impacts will occur in areas that are more susceptible to colonisation by invasive species, such as areas close to roads; islands are particularly sensitive to impacts from invasive species."
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Reduced species survival and reduced ability of native species to disperse seeds. Reduced ability of water bodies to effectively disperse seeds.,"Decreased seed dispersal by native species, and possibly less efficient seed dispersal where invasive species replace native species. Reduced water mobility due to invasive plants, leading to reduction in seed dispersal distance by water bodies.",Human action,Short term - Impacts of invasive species are already occurring and materialise within a few months.,"Local - Impacts will occur in areas that are more susceptible to colonisation by invasive species, such as areas close to roads; islands are particularly sensitive to impacts from invasive species."
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Alteration of chemical properties of salt water bodies.,Decreased chemical quality of salt water.,Human action,Short term,Local
Species,Invasive species,A,"Invasive species can outcompete indigenous species, restructuring communities and causing evolutionary changes. Invasive species can however also facilitate native species through habitat modification (through acting as habitat engineers), pollination, competitive release and predatory release.",Altered chemical balances of freshwater bodies and competition with native species,"Decreased chemical condition of freshwaters resulting from lower species diversity, loss of native species, and changes in nutrient and chemical balances.",Human action,Short term - Invasive species colonise at alarming rates within weeks or months.,"Regional and local - Invasive species have severe and often irreversible impacts on the areas that they colonise and once they are present within a region, if they are not controlled adequately, they are highly likely to colonise new areas. The economic impact of invasive species ranges from US$ 100 million – US$ 1 billion."
Species,Ocean acidification,R,"Ocean acidification harms the growth of many marine species such as corals and plankton. This greatly reduces primary food sources in the marine realm causing devastating impacts on marine and marine-dependent species. Measurements and models indicate that global oceanic pH levels are predicted to become 170% more acidic by 2100. Consequently, all marine species will be negatively impacted in the next 100 years under current trends of acidification.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Species,Ocean acidification,R,"Ocean acidification harms the growth of many marine species such as corals and plankton. This greatly reduces primary food sources in the marine realm causing devastating impacts on marine and marine-dependent species. Measurements and models indicate that global oceanic pH levels are predicted to become 170% more acidic by 2100. Consequently, all marine species will be negatively impacted in the next 100 years under current trends of acidification.",Decreased ability of species to uptake nutrients.,Decreased chemical quality of salt water.,Human action,Short term - This impact is already occurring daily and its effect on animals is rapid.,Global - Ocean acidification is occurring on a global scale. Local - Plant and animal species that are more sensitive to ocean acidification will be more severely impacted.
Species,Overfishing,A,"Overfishing has significant direct and indirect effects on the diversity, structure and productivity of aquatic communities. Some species may be more resilient to overfishing than others, and this depends on the size of the species, intensity of fishing, life history strategy, habitat size and location. Overexploitation can also have unforeseen effects on biodiversity through the complex interactions among species in an ecosystem - both positive and negative.",Marine resources (fishmeal and fish oil in the use of aqua feeds) potentially exhausted by over use and under supply,Poorly nourished fish in aquaculture farms.,Human action,Long-term,Global but China already using 30% of global aqua feed supply
Species,Overfishing,A,"Overfishing has significant direct and indirect effects on the diversity, structure and productivity of aquatic communities. Some species may be more resilient to overfishing than others, and this depends on the size of the species, intensity of fishing, life history strategy, habitat size and location. Overexploitation can also have unforeseen effects on biodiversity through the complex interactions among species in an ecosystem - both positive and negative.",Physical destruction and alteration of the habitat.,"Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats. Dynamite destroys and kills habitats/organisms. Hydraulic dredging damages fauna and kills animals by heat. Seabed trawling creates turbidity, which kills larvae, eliminates coral and destroys nurseries.",Human action,Short-mid term,Local-Regional
Species,Overfishing,A,"Overfishing has significant direct and indirect effects on the diversity, structure and productivity of aquatic communities. Some species may be more resilient to overfishing than others, and this depends on the size of the species, intensity of fishing, life history strategy, habitat size and location. Overexploitation can also have unforeseen effects on biodiversity through the complex interactions among species in an ecosystem - both positive and negative.",Reduction in the population numbers of seed dispersing species.,Decreased seed dispersal by animals.,Human action,Short term - Impacts are occurring on a daily basis.,Regional and local - Impacts occur in areas where humans rely on hunting and fishing for subsistence.
Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,Timber and wood harvesting leads to a reduction in standing timber biomass and exposes upper soil layer.,"Soil organic carbon declines rapidly under cultivation, e.g. woodland conversion results in soil degradation, erosion and loss of organic matter, diminishing the soil potential to sequester carbon.",Human action,Long term,Global – forested areas
Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,Stump and root harvesting as a source of woody biomass for bioenergy generation leads to soil disturbance.,"Stump harvesting causes existing soil organic carbon to become mineralised, leading to carbon loss as carbon dioxide, e.g. 1 tonne carbon per hectare per year might be lost compared with sites undisturbed by stump harvesting operations.",Human action,Short term,"Global to forests but examples cited in temperate forests in the UK and British Columbia, Canada"
Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,"Illegal overexploitation causes population declines in wild animal species, e.g. 95% of respondents to a survey in Madagascar have eaten at least one protected forest animal species (and nearly 45% have eaten more than 10). Legal overexploitationbelow causes population declines in wild animal species but regulated trade cause less extreme changes in wild species populations. ",Reduced species abundance and diversity,Human action,Short term,Global in scope
Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,General unsustainable use for many reasons. Including illegal trade in plant materials / fibre (high value timber for example),The provision of vegetable fibres is diminished,Human action,Short-term,Local
Species,Overharvesting,A,Overharvesting has significant impacts on biodiversity both through direct removal of some species and through indirect effects such as reduced soil fertility and habitat degradation.,Reduced species survival and population declines due to lower food availability,Decreased seed dispersal by animals,Human action,Short term - Impacts on species have been reported within a few months.,Regional and local - Effects will be more severe in areas where human populations rely more heavily on plant species for subsistence.
Species,Overhunting,A,"Overhunting directly and indirectly impacts species abundance and diversity. It directly reduces the number of some species and can cause disruptions to ecosystems with cascading effects. Species distributions, abundance and dynamics are expected to worsen in the long term. Individual species will vary in their response to overhunting with some species more resilient to hunting than others depending on factors such as the size of the species, intensity of hunting, life history strategy, habitat size and location.","Eradication of predator populations by use of insecticides, different crop rotation practices or removal by other means, e.g. hunting",Explosion in pest (prey) populations due to predator absence,Human action,Short term,Global
Species,Overhunting,A,"Overhunting directly and indirectly impacts species abundance and diversity. It directly reduces the number of some species and can cause disruptions to ecosystems with cascading effects. Species distributions, abundance and dynamics are expected to worsen in the long term. Individual species will vary in their response to overhunting with some species more resilient to hunting than others depending on factors such as the size of the species, intensity of hunting, life history strategy, habitat size and location.",Reduction in the population numbers of seed dispersing species.,Decreased seed dispersal by animals.,Human action,Short term - Impacts are occurring on a daily basis.,Regional and local - Impacts occur in areas where humans rely on hunting and fishing for subsistence.
Species,Pests,A,"Pests can cause changes to species dynamics. Insect pests can attack plants - delaying seed ripening, reducing seed production and individual seed weights, reducing the rates of shoot and root growth, increasing the susceptibility of plants to disease and reducing the competitive ability of plants relative to their unattacked neighbours. Vertebrate pests can also cause huge economic losses to agriculture. ","Species, e.g. sea urchins, which predate or act as pests for the kelp components increase in",The service provision does not stop but slows down due to reduction in quality and quantity of the asset.,Natural variation,Long term,Global
Species,Pests,A,"Pests can cause changes to species dynamics. Insect pests can attack plants - delaying seed ripening, reducing seed production and individual seed weights, reducing the rates of shoot and root growth, increasing the susceptibility of plants to disease and reducing the competitive ability of plants relative to their unattacked neighbours. Vertebrate pests can also cause huge economic losses to agriculture. ",Cellulose is consumed by the larvae of beetles causing serious damage to structural or standing timbers.,Increase in pests (wood-boring beetle) associated with high moisture levels and elevated temperatures causes a decrease in cellulose in softwood timber from temperate environments.,Natural variation,Short-term,Localised in temperate environments and in softwood timber
Species,Pests,A,"Pests can cause changes to species dynamics. Insect pests can attack plants - delaying seed ripening, reducing seed production and individual seed weights, reducing the rates of shoot and root growth, increasing the susceptibility of plants to disease and reducing the competitive ability of plants relative to their unattacked neighbours. Vertebrate pests can also cause huge economic losses to agriculture. ","A vast number of naturally-occurring fungal, bacterial, and viral pathogens, and pests affect pollinator species. Reduction in pollinator species’ survival.",Decreased pollination services,Natural variation,Short-mid term - Impacts of pests and pathogens have been reported to occur over the span of months to a few years.,Local - Impacts will materialise where pathogens and pests are prevalent and will be more severe when they affect less resilient pollinators.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Habitat degradation and reduction or interruption of algal species’ ability to perform bio-remediation.,Decreased bio-remediation due to decreased ability of algae to perform bio-remediation.,Human action,Short term - An area can be saturated within hours or days resulting from a severe spill of contaminants. Mid-long term - Loss of environmental function occurs on a longer timescale.,"Local - This impact is specific to areas that are highly degraded or polluted. Conversely, algae that exist in highly regulated water bodies might be able to develop better and thus provide a better service."
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Excess nutrient loads and sunlight cause imbalances in micro algae concentrations. Harmful toxins produced by the bloom kill beneficial cyanobacteria.,Any services arising from the algae will be diminished or stopped.,Human action,Short-term,Global - coastal and freshwater environments
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Reduction of algae’s capacity to filter or capture pollutants,Decrease capture or filtration of pollutants by algae.,Human action,Mid-long term. Loss of environmental function occurs on a longer timescale.,Local - This impact is specific to areas that are highly degraded or polluted.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.","Lower species survival (or local extinctions) and reduction or interruption of their ability to perform filtration, sequestration, storage, and accumulation of pollutants.","Decreased filtration, sequestration, storage, and accumulation of pollutants by animals.",Human action,Mid-long term. Loss of environmental function occurs on a longer timescale.,Local - This impact is specific to areas that are highly degraded or polluted.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.","Reduction or interruption in the ability of micro-organisms to filter, sequester, store or accumulate pollutants.","Decreased filtration, adsorption, or accumulation of pollutants by micro-organisms.",Human action,Mid- long term - Loss of environmental function occurs on a longer timescale.,Local - This impact is specific to areas that are highly degraded or polluted.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Plant death and a resulting reduction in their ability to perform filtration and sequestration,Decreased filtration and sequestration of pollutants by plants.,Human action,Short term - An area can be saturated within hours or days resulting from a severe spill of contaminants.,Local - This impact will be specific to areas that are both highly artificialized and degraded or that are highly polluted.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-mid term (depending on extent and intensity),Local-Regional
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-mid term,Global
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Altered wind dynamics and the ability of wind to disperse seeds,Decreased dispersal distance of seeds by wind,Human action,Short term,Local
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-long term,Local-Global
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.",Alteration of chemical composition of salt water bodies and decreased pH of salt water.,Decreased quality of salt water.,Human action,Short term - This impact is already occurring daily and its effect on pH materialises on a short timescale.,Global - Fossil fuel emissions are occurring on a global scale. Local - Salt water bodies that are in close proximity of areas with high pollution rates are more likely to be impacted.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.","Alteration of nutrient cycles (e.g. leading to algal blooms and eutrophication), pH level, and changes to chemical composition of salt waters. Algal blooms smother sea grass. Eutrophication leads to creation of “dead zones” in the ocean, which are areas that are entirely deprived of oxygen.",Decreased chemical quality of salt water.,Human action,"Short term - This impact is already occurring daily and its effect on nutrients, pH, and chemical particles is rapid.",Local - Pollution of salt water bodies occurs where there are ongoing human activities. Coastal waters are particularly vulnerable to pollution from nearby land-based activities.
Species,Pollution,A,"Pollution is detrimental to species health. Atmospheric deposition of reactive nitrogen, for example, has the potential to reduce plant species richness, through favouring species better adapted to high nutrient levels. Impacts of pollution on species varies by location and other external parameters.","Increases in nutrients, sediments and changes in chemical composition of freshwater bodies, decreased species survival.",Decreased chemical condition of freshwaters.,Human action,Short term - Pollution from industrial activities and agricultural run-off occurs daily.,Regional - This impact is more likely to occur in areas with nearby human activities and will be particularly severe where many activities contribute to polluting nearby freshwaters.
Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.",Resistance to biological control measures,"Loss of efficiency of biological control agents against plant pathogens, e.g. fungicide resistance in fungal plant pathogens.",Natural variation,Long term,Global
Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.","Species, e.g. sea urchins, which predate or act as pests for the kelp components increase in",The service provision does not stop but slows down due to reduction in quality and quantity of the asset.,Natural variation,Long term,Global
Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.",Control of predator populations,Food availability through a finite source of prey limits nutritional resource for predators and declines in prey will constrain predator population size too.,Natural variation,Short-mid term,Global
Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.","Human-induced climate change is affecting pollinator species, mainly butterflies. Alterations in species richness and distributions.",Decreased pollination services where species are declining or moving away from areas and increased pollination in areas where species are moving to.,Human action,Short term - There is evidence that some species are already changing their distributions and that others are experiencing population declines.,"Regional and Local - In general, species are moving towards the poles as a way of adapting to climate change, impacts will occur on a local scale where populations of pollinators decrease or increase."
Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.","Increases or decreases in local species richness, resulting in increased or decreased seed dispersal",Decreased seed dispersal by native species. Specialist plants (i.e. that rely on one particular species for dispersal) will be more severely affected.,Human action,Short term - There is evidence that some species are already changing their distributions and that others are experiencing population declines.,"Regional and local
Impacts will occur on a local scale where populations of seed dispersing species decrease or increase."
Species,Population changes,A,"Population changes in one species can affect other species dynamics and interactions within ecological communities. The susceptibility of species to change can vary - for example, some species are more resilient to changes in population dynamics than others. These relationships are usually described through models, to which there is a degree of uncertainty.",Extinction risk factors including habitat loss and microbial invasions lead to reduction in microbial populations and diversity.,Diminishes the ability of the microorganisms to consume VOCs and ventilate indoor air.,Human action,Short-long term,Global
Species,Sea surface temperature,R,"Rising sea surface temperatures can have devastating effects on species such as shallow water corals that experience bleaching or even death due to temprature rises. The destruction of coral reefs, in turn, has an extensive impact on a wide range of species. Further, changes in sea surface temperatures can alter climatic conditions impacting terrestrial and marine species globally through destructive processes (droughts, hurricane etc), altering habitat ranges and ecological niche displacement.",Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global - oceans
Species,Sea surface temperature,R,"Rising sea surface temperatures can have devastating effects on species such as shallow water corals that experience bleaching or even death due to temprature rises. The destruction of coral reefs, in turn, has an extensive impact on a wide range of species. Further, changes in sea surface temperatures can alter climatic conditions impacting terrestrial and marine species globally through destructive processes (droughts, hurricane etc), altering habitat ranges and ecological niche displacement.",Cyclic and fatally bleached sponge tissues had lower chlorophyll a concentrations than non-bleached tissues.,Sponge pieces incubated at 30°C in a lab show mortality after less than 15 hours with impacts on medicinal compound provision.,Human action,Medium term,Warm water coral reef ecosystems
